sourceIdentifier,channelNumber,timeslotMask,callLetters,flags
WDPN,2,,WDPN,none
KYW,3,,KYW,none
WACPSD,4,,WACPSD,none
USA,5,,USA,none
WPVI,6,,WPVI,none
ESPN,7,,ESPN,none
NBSPP,8,,NBSPP,none
WCAU,10,,WCAU,none
QVC,11,,QVC,none
WHYY,12,,WHYY,none
WPSG,13,,WPSG,none
HSN,14,,HSN,none
WTXF,15,,WTXF,none
ESPN2,16,,ESPN2,none
WPHL,17,,WPHL,none
NBCSPA,19,,NBCSPA,none
TBS,20,,TBS,none
WMCNSD,21,,WMCNSD,none
COMEDY,22,,COMEDY,none
WNJN,23,,WNJN,none
CNN,27,,CNN,none
LIFE,29,,LIFE,none
AETV,30,,AETV,none
NIK,33,,NIK,none
DISN,34,,DISN,none
PAR,36,,PAR,none
E,37,,E,none
FREEFR,38,,FREEFRM,none
WLVT,39,,WLVT,none
BET,42,,BET,none
TNT,43,,TNT,none
FX,45,,FX,none
HLN,46,,HLN,none
CNBC,47,,CNBC,none
TBN,48,,TBN,none
CSPAN,49,,CSPAN,none
EDAC00,50,,EDAC050,none
WBPH,51,,WBPH,none
EDAC02,52,,EDAC052,none
CCPTV3,53,,CCPTV53,none
DUTV54,54,,DUTV54,none
LSUNIT,56,,LSUNITV,none
APL,57,,APL,none
OXYGEN,58,,OXYGEN,none
WFMZ,59,,WFMZ,none
SYFY,60,,SYFY,none
WPPX,61,,WPPX,none
GOAC03,63,,GOAC063,none
GOAC04,64,,GOAC064,none
PUAC06,66,,PUAC066,none
MTV,68,,MTV,none
TCM,73,,TCM,none
HISTOR,75,,HISTORY,none
MSNBC,76,,MSNBC,none
FNC,78,,FNC,none
GOLF,79,,GOLF,none
BRAVO,80,,BRAVO,none
TRUTV,81,,TRUTV,none
QVC2,86,,QVC2,none
QVC3,87,,QVC3,none
MDUC1,97,,MDUC1,none
CMDUCC,98,,CMDUCC,none
HGTV,99,,HGTV,none
POPSD,100,,POPSD,none
